id,imdb_id,title,original_title,original_language,release_date,release_year,runtime,budget,revenue,profit,popularity,vote_average,vote_count,ratings,status
141052                                                                                              ,tt0974015,Justice League,Justice League,en,2017-11-15,2017.0,,0.0,0.0,0.0,25.944629,0.0,0.0,,Post Pro
173897                                                                                              ,tt2592614,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,en,2016-12-23,2016.0,107.0,40000000.0,312242626.0,272242626.0,0.75571,5.9,1139.0,,Released
168098                                                                                              ,tt0775440,Cell,Cell,en,2016-07-06,2016.0,98.0,0.0,1133031.0,1133031.0,10.752519,4.4,325.0,,Released
153518                                                                                              ,tt1985949,The Angry Birds Movie,The Angry Birds Movie,en,2016-05-11,2016.0,97.0,73000000.0,349779543.0,276779543.0,11.171927,5.9,1048.0,,Released
140491                                                                                              ,tt2324928,Alienate,Alienate,en,2016-02-22,2016.0,90.0,0.0,0.0,0.0,3.21853,4.3,12.0,,Post Pro
146198                                                                                              ,tt1712261,Triple 9,Triple 9,en,2016-02-19,2016.0,115.0,20000000.0,12639297.0,-7360703.0,12.892504,5.6,812.0,,Released
174751                                                                                              ,tt2140037,Jane Got a Gun,Jane Got a Gun,en,2016-01-01,2016.0,98.0,25000000.0,1397284.0,-23602716.0,8.826071,5.4,293.0,,Released
131634                                                                                              ,tt1951266,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,en,2015-11-18,2015.0,137.0,160000000.0,653428261.0,493428261.0,26.628178,6.6,4117.0,,Released
146301                                                                                              ,tt2473510,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,en,2015-10-21,2015.0,88.0,10000000.0,78096553.0,68096553.0,9.185701,5.0,435.0,,Released
157843                                                                                              ,tt1837636,Queen of the Desert,Queen of the Desert,en,2015-09-03,2015.0,128.0,15000000.0,0.0,-15000000.0,5.01561,6.1,61.0,,Released
157544                                                                                              ,tt1524575,The Vatican Tapes,The Vatican Tapes,en,2015-07-24,2015.0,91.0,13000000.0,1784763.0,-11215237.0,5.149301,4.6,248.0,,Released
102899                                                                                              ,tt0478970,Ant-Man,Ant-Man,en,2015-07-14,2015.0,117.0,130000000.0,519311965.0,389311965.0,26.882388,7.0,6029.0,,Released
